genre,budget_million,director_score,cast_popularity,runtime_minutes,release_month,marketing_spend,is_sequel,box_office_hit
Action,59.14,2.85,100.0,110,9,0.0,0,0
Action,18.8,10.0,47.21,153,1,13.87,1,1
Fantasy,72.51,9.59,40.71,156,8,13.79,1,1
Action,78.22,4.34,27.32,111,7,10.18,1,0
Romance,1.0,9.2,44.89,126,10,14.97,0,1
Drama,10.93,3.7,44.54,145,6,14.08,1,0
Fantasy,53.84,4.65,45.06,107,1,7.56,0,0
Drama,40.51,6.02,57.6,146,3,8.27,1,0
Action,49.5,4.25,32.08,122,6,13.94,0,0
Fantasy,24.41,7.21,24.91,122,7,14.05,1,0
Romance,76.38,8.27,38.43,87,10,0.0,1,0
Horror,73.33,3.16,27.86,134,5,21.06,0,0
Drama,51.98,6.24,68.88,81,2,10.97,1,1
Romance,83.82,4.02,51.4,155,8,9.82,1,0
Fantasy,64.03,6.55,36.27,180,10,9.22,1,0
Thriller,24.22,6.6,75.58,159,10,9.22,1,1
Horror,61.06,4.73,36.53,175,8,16.9,1,0
Action,21.23,5.67,60.54,136,6,17.33,0,1
Horror,76.35,6.21,99.48,133,1,5.27,0,1
Action,48.5,4.63,49.56,94,2,8.29,1,0
Thriller,44.45,2.65,72.28,118,11,23.29,0,1
Action,29.57,7.55,33.95,168,4,3.96,0,0
Romance,86.68,7.54,50.65,162,7,3.95,0,1
Horror,45.36,7.44,55.67,144,1,3.15,0,0
Comedy,37.15,4.01,53.02,106,1,16.12,0,0
Action,39.44,5.53,28.74,153,11,12.05,0,0
Comedy,65.97,2.74,35.35,108,9,11.61,1,0
Drama,60.96,10.0,28.61,161,8,5.47,0,1
Thriller,62.38,3.34,58.49,144,3,8.63,1,0
Romance,62.92,8.5,34.22,135,1,17.1,0,1
Romance,114.25,4.45,43.58,96,1,12.35,0,0
Fantasy,37.81,6.61,25.25,175,10,7.56,1,0
Fantasy,34.63,5.49,38.17,80,10,15.5,0,0
Sci-Fi,25.59,5.23,78.26,168,11,6.21,0,0
Action,68.48,6.81,39.89,89,10,12.51,1,1
Fantasy,83.87,4.9,15.61,108,2,7.0,1,0
Sci-Fi,46.58,2.77,72.62,123,11,11.23,1,0
Drama,24.8,5.67,67.02,132,3,5.1,0,0
Comedy,25.27,8.23,68.17,97,4,10.83,1,1
Sci-Fi,69.52,6.03,61.83,92,1,4.25,1,1
Action,72.3,4.12,66.31,138,11,5.24,1,0
Horror,66.29,10.0,24.94,147,3,13.42,0,1
Comedy,30.03,6.02,47.7,142,5,16.28,0,0
Thriller,56.96,4.3,51.86,105,12,14.48,0,0
Drama,53.5,10.0,78.94,86,12,13.28,0,1
Horror,56.56,2.54,20.5,91,8,9.49,1,0
Fantasy,76.14,4.14,21.12,85,5,14.86,0,0
Action,56.71,8.04,54.45,144,7,9.46,1,1
Action,70.37,4.1,49.79,87,5,20.7,1,1
Action,52.03,7.46,74.03,171,9,20.55,1,1
Thriller,58.67,7.72,43.19,136,6,14.79,1,1
Horror,68.94,10.0,34.26,97,7,11.8,1,1
Fantasy,6.29,8.13,61.65,114,7,4.98,0,0
Horror,40.41,5.08,39.16,122,1,7.46,0,0
Sci-Fi,35.89,4.53,37.07,158,1,10.48,0,0
Fantasy,30.83,3.89,38.63,97,3,3.39,1,0
Fantasy,41.75,3.77,78.09,170,7,11.13,0,0
Fantasy,94.85,6.79,62.84,167,5,8.81,0,1
Sci-Fi,24.03,2.45,40.63,119,1,4.4,1,0
Comedy,79.05,6.32,79.03,172,10,20.27,1,1
Drama,1.0,2.14,58.17,147,2,11.1,1,0
Comedy,39.95,6.51,36.58,153,8,10.72,0,0
Action,54.88,4.91,52.36,135,5,11.63,1,0
Thriller,67.59,7.27,68.35,159,7,13.2,1,1
Romance,71.34,0.6,31.82,124,10,6.91,0,0
Horror,73.8,7.89,55.15,170,2,7.51,0,1
Drama,39.54,6.02,24.47,139,6,12.08,1,0
Horror,36.13,5.06,76.79,116,11,7.64,0,0
Horror,75.74,7.05,40.07,131,3,7.19,1,1
Drama,44.26,6.89,57.84,173,11,13.5,0,1
Thriller,11.73,3.25,53.6,132,6,20.35,0,0
Romance,16.0,6.31,77.71,144,5,12.59,0,1
Thriller,22.42,7.46,43.58,172,11,10.82,0,0
Action,64.91,2.81,49.49,138,7,13.68,1,0
Horror,54.27,6.41,67.85,86,1,7.79,1,1
Sci-Fi,70.71,8.41,93.19,108,8,5.92,1,1
